t,name,team,level,is_dead,lane_role,kills,deaths,assists,cs,gold,hp_pct,will_die_10s
0.8155298233032227,JackDaCoc#NA1,ORDER,1,False,NONE,0,0,0,0,500.0,1.0,0
0.8155298233032227,Tristana Bot,ORDER,1,False,BOTTOM,0,0,0,0,,-1.0,0
0.8155298233032227,Fizz Bot,CHAOS,1,False,MIDDLE,0,0,0,0,,-1.0,0
0.8155298233032227,Lux Bot,CHAOS,1,False,UTILITY,0,0,0,0,,-1.0,0
1.8768322467803955,JackDaCoc#NA1,ORDER,1,False,NONE,0,0,0,0,500.0,1.0,0
1.8768322467803955,Tristana Bot,ORDER,1,False,BOTTOM,0,0,0,0,,-1.0,0
1.8768322467803955,Fizz Bot,CHAOS,1,False,MIDDLE,0,0,0,0,,-1.0,0
1.8768322467803955,Lux Bot,CHAOS,1,False,UTILITY,0,0,0,0,,-1.0,0
2.9556398391723633,JackDaCoc#NA1,ORDER,1,False,NONE,0,0,0,0,500.0,1.0,0
2.9556398391723633,Tristana Bot,ORDER,1,False,BOTTOM,0,0,0,0,,-1.0,0
2.9556398391723633,Fizz Bot,CHAOS,1,False,MIDDLE,0,0,0,0,,-1.0,0
2.9556398391723633,Lux Bot,CHAOS,1,False,UTILITY,0,0,0,0,,-1.0,0
4.01318359375,JackDaCoc#NA1,ORDER,1,False,NONE,0,0,0,0,500.0,1.0,0
4.01318359375,Tristana Bot,ORDER,1,False,BOTTOM,0,0,0,0,,-1.0,0
4.01318359375,Fizz Bot,CHAOS,1,False,MIDDLE,0,0,0,0,,-1.0,0
4.01318359375,Lux Bot,CHAOS,1,False,UTILITY,0,0,0,0,,-1.0,0
5.064720630645752,JackDaCoc#NA1,ORDER,1,False,NONE,0,0,0,0,500.0,1.0,0
5.064720630645752,Tristana Bot,ORDER,1,False,BOTTOM,0,0,0,0,,-1.0,0
5.064720630645752,Fizz Bot,CHAOS,1,False,MIDDLE,0,0,0,0,,-1.0,0
5.064720630645752,Lux Bot,CHAOS,1,False,UTILITY,0,0,0,0,,-1.0,0
6.111273765563965,JackDaCoc#NA1,ORDER,1,False,NONE,0,0,0,0,500.0,1.0,0
6.111273765563965,Tristana Bot,ORDER,1,False,BOTTOM,0,0,0,0,,-1.0,0
6.111273765563965,Fizz Bot,CHAOS,1,False,MIDDLE,0,0,0,0,,-1.0,0
6.111273765563965,Lux Bot,CHAOS,1,False,UTILITY,0,0,0,0,,-1.0,0
7.145404815673828,JackDaCoc#NA1,ORDER,1,False,NONE,0,0,0,0,500.0,1.0,0
7.145404815673828,Tristana Bot,ORDER,1,False,BOTTOM,0,0,0,0,,-1.0,0
7.145404815673828,Fizz Bot,CHAOS,1,False,MIDDLE,0,0,0,0,,-1.0,0
7.145404815673828,Lux Bot,CHAOS,1,False,UTILITY,0,0,0,0,,-1.0,0
8.181483268737793,JackDaCoc#NA1,ORDER,1,False,NONE,0,0,0,0,500.0,1.0,0
8.181483268737793,Tristana Bot,ORDER,1,False,BOTTOM,0,0,0,0,,-1.0,0
8.181483268737793,Fizz Bot,CHAOS,1,False,MIDDLE,0,0,0,0,,-1.0,0
8.181483268737793,Lux Bot,CHAOS,1,False,UTILITY,0,0,0,0,,-1.0,0
9.22016716003418,JackDaCoc#NA1,ORDER,1,False,NONE,0,0,0,0,500.0,1.0,0
9.22016716003418,Tristana Bot,ORDER,1,False,BOTTOM,0,0,0,0,,-1.0,0
9.22016716003418,Fizz Bot,CHAOS,1,False,MIDDLE,0,0,0,0,,-1.0,0
9.22016716003418,Lux Bot,CHAOS,1,False,UTILITY,0,0,0,0,,-1.0,0
10.272415161132812,JackDaCoc#NA1,ORDER,1,False,NONE,0,0,0,0,500.0,1.0,0
10.272415161132812,Tristana Bot,ORDER,1,False,BOTTOM,0,0,0,0,,-1.0,0
10.272415161132812,Fizz Bot,CHAOS,1,False,MIDDLE,0,0,0,0,,-1.0,0
10.272415161132812,Lux Bot,CHAOS,1,False,UTILITY,0,0,0,0,,-1.0,0
12.155645370483398,JackDaCoc#NA1,ORDER,1,False,NONE,0,0,0,0,500.0,1.0,0
12.155645370483398,Tristana Bot,ORDER,1,False,BOTTOM,0,0,0,0,,-1.0,0
12.155645370483398,Fizz Bot,CHAOS,1,False,MIDDLE,0,0,0,0,,-1.0,0
12.155645370483398,Lux Bot,CHAOS,1,False,UTILITY,0,0,0,0,,-1.0,0
