match_id,timestamp_min,kills_diff,deaths_diff,assists_diff,gold_diff,cs_diff,level_diff,towers_diff,inhibs_diff,dragons_diff,heralds_diff,barons_diff,blue_win
NA1_5386801679,10,5,-5,1,2515,28,0.2,0,0,-1,0,0,1
NA1_5386801679,20,11,-11,8,6195,86,0.4,4,0,-2,1,0,1
NA1_5384383497,10,-4,4,-5,-2614,-28,0.2,0,0,0,0,0,0
NA1_5384383497,20,-7,7,-5,-4524,-93,-0.8,-2,0,-2,-1,0,0
NA1_5384353731,10,-4,4,-9,-1880,-1,-0.4,0,0,-1,0,0,1
NA1_5384353731,20,-1,1,-1,-1694,-43,-0.6,-2,0,-3,1,0,1
NA1_5384353731,30,8,-8,30,3175,-38,0.6,-1,0,-2,1,0,1
NA1_5384318038,10,-6,6,-12,-4017,-28,-0.4,0,0,0,0,0,0
NA1_5384318038,20,-9,9,-20,-7274,-70,-0.8,-4,0,-2,-1,0,0
NA1_5384280819,10,0,0,6,-434,-36,0.0,0,0,-1,0,0,0
NA1_5384280819,20,-4,4,3,-3897,-102,-0.8,-4,0,-3,-1,0,0
NA1_5384243198,10,0,0,-2,289,16,0.4,0,0,-1,0,0,1
NA1_5384243198,20,9,-9,16,6611,43,1.0,3,0,-1,1,0,1
NA1_5384182803,10,-1,1,-7,-1363,-30,-0.2,0,0,-1,0,0,0
NA1_5384182803,20,-9,9,-16,-3472,-74,-1.2,-2,0,-3,1,0,0
NA1_5384087144,10,-2,2,-1,-1629,-27,0.0,0,0,0,0,0,0
NA1_5384087144,20,-9,9,-4,-3816,-62,-1.0,-1,0,0,1,0,0
NA1_5384009170,10,-2,2,1,-727,-6,0.0,0,0,-1,0,0,0
NA1_5384009170,20,-9,9,-13,-4287,-50,-0.8,2,0,-2,1,0,0
NA1_5383534595,10,7,-7,4,3530,56,0.8,0,0,0,0,0,1
NA1_5383513184,10,-8,8,-8,-3679,-31,-0.2,0,0,0,0,0,0
NA1_5383513184,20,-21,21,-31,-11103,-123,-1.2,-3,0,-2,-1,0,0
NA1_5383474815,10,5,-5,7,2592,17,0.4,0,0,0,0,0,0
NA1_5383474815,20,-4,4,-13,-1365,28,-0.4,0,0,-2,1,0,0
NA1_5383474815,30,-14,14,-33,-5935,24,-1.2,-2,-2,-2,1,-1,0
NA1_5399808990,10,0,0,1,-456,-21,0.0,0,0,-1,0,0,0
NA1_5399808990,20,0,0,4,-74,-21,-0.2,-1,0,-2,-1,0,0
NA1_5399736130,10,5,-5,5,1901,11,0.2,0,0,1,0,0,1
NA1_5399736130,20,6,-6,9,4116,34,0.4,4,0,2,1,0,1
NA1_5399716921,10,6,-6,6,2821,25,0.4,0,0,1,0,0,1
NA1_5399689283,10,1,-1,5,-124,-40,-0.6,0,0,0,0,0,0
NA1_5399689283,20,0,0,-4,-1057,-51,-0.2,-2,0,0,0,0,0
NA1_5399668306,10,3,-3,7,1920,26,0.2,0,0,0,0,0,1
NA1_5399668306,20,8,-8,2,5889,29,0.4,4,0,0,1,0,1
NA1_5399647780,10,-1,1,-1,-872,-4,0.2,0,0,0,0,0,0
NA1_5399647780,20,-2,2,3,-376,16,0.2,0,0,0,-1,0,0
NA1_5399032541,10,0,0,-3,307,41,0.0,0,0,0,0,0,0
NA1_5399032541,20,-1,1,-5,-672,-13,-0.4,-1,0,-1,1,0,0
NA1_5399032541,30,10,-10,17,3012,-5,0.6,1,0,1,1,-1,0
NA1_5399013823,10,6,-6,12,4211,21,0.4,0,0,0,0,0,1
NA1_5399013823,20,21,-21,33,11829,74,1.2,3,0,-1,1,0,1
NA1_5398999892,10,-2,2,-3,-1126,-26,0.0,0,0,-1,0,0,0
NA1_5398701592,10,-2,2,-10,-297,34,0.2,0,0,0,0,0,1
NA1_5398701592,20,-1,1,-7,4958,118,1.2,4,0,-1,1,0,1
NA1_5398688093,10,10,-10,8,4487,37,1.0,0,0,0,0,0,1
NA1_5398667722,10,-4,4,-14,-3184,-5,-0.4,0,0,1,0,0,0
NA1_5398648766,10,3,-3,4,2096,52,0.4,0,0,0,0,0,1
NA1_5398618811,10,1,-1,2,1046,28,0.0,0,0,-1,0,0,1
NA1_5398618811,20,11,-11,22,8857,76,0.6,4,0,1,1,0,1
NA1_5398581045,10,-5,5,-4,-2655,-32,-0.4,0,0,-1,0,0,0
NA1_5398581045,20,-16,16,-12,-9898,-86,-0.8,-5,0,0,-1,0,0
NA1_5398536682,10,-1,1,3,-547,-25,-0.6,0,0,-1,0,0,0
NA1_5398536682,20,9,-9,21,2160,-27,0.6,-1,0,-2,-1,0,0
NA1_5397986518,10,-3,3,-7,-1897,-8,0.2,0,0,1,0,0,1
NA1_5397986518,20,5,-5,15,56,-12,0.2,-2,0,0,0,0,1
NA1_5397986518,30,16,-16,32,2532,3,1.2,-2,0,2,1,0,1
NA1_5397952676,10,-4,4,-4,-3302,-63,-0.2,0,0,-1,0,0,0
NA1_5397952676,20,-2,2,0,-4648,-128,-0.6,-2,0,-1,1,0,0
NA1_5397952676,30,-4,4,-1,-5308,-158,-0.4,-2,0,-1,1,0,0
NA1_5397925423,10,2,-2,3,644,-8,0.2,0,0,-1,0,0,1
NA1_5397925423,20,4,-4,4,1249,-62,0.6,2,0,-2,-1,0,1
NA1_5397925423,30,4,-4,9,1307,-43,0.4,1,0,-2,-1,1,1
NA1_5397901474,10,-4,4,-5,-1047,-7,-0.2,0,0,-1,0,0,1
NA1_5397901474,20,-6,6,-9,-2087,11,0.2,-1,0,-1,-1,0,1
NA1_5397876340,10,5,-5,0,2300,39,0.6,0,0,0,0,0,1
NA1_5397876340,20,12,-12,8,6548,123,1.6,1,0,2,1,0,1
NA1_5397857255,10,-2,2,-3,-745,9,0.2,0,0,0,0,0,1
NA1_5397857255,20,3,-3,1,2297,26,0.4,1,0,0,1,0,1
NA1_5397843908,10,-2,2,-3,274,51,0.4,0,0,0,0,0,0
NA1_5397827070,10,-1,1,-6,158,31,0.4,0,0,-1,0,0,0
NA1_5397809036,10,-4,4,-6,-1035,35,0.0,0,0,1,0,0,0
NA1_5397809036,20,-11,11,-16,-5298,-14,-0.8,-2,0,-1,-1,0,0
NA1_5397787002,10,-2,2,-4,-1551,8,0.0,0,0,0,0,0,1
NA1_5397787002,20,-11,11,-10,-3773,-1,0.0,0,0,-2,1,0,1
NA1_5397787002,30,-9,9,-15,2938,59,0.6,3,1,-1,1,0,1
NA1_5397770787,10,-2,2,0,-1241,-16,0.0,0,0,-1,0,0,1
NA1_5397770787,20,4,-4,9,4825,-11,0.4,2,0,-1,-1,0,1
NA1_5397751904,10,-2,2,-1,-1035,13,-0.2,0,0,1,0,0,1
NA1_5397751904,20,4,-4,11,1646,-9,0.0,1,0,-1,-1,0,1
NA1_5397751904,30,17,-17,37,5254,-18,1.4,2,0,1,-1,0,1
NA1_5397751904,40,18,-18,38,4142,-64,0.0,5,1,0,-1,0,1
NA1_5397505901,10,-1,1,0,-604,-20,0.0,0,0,-1,0,0,1
NA1_5397505901,20,2,-2,6,2058,-8,0.4,1,0,-1,1,0,1
NA1_5397505901,30,0,0,3,1715,-59,0.0,3,1,-3,1,1,1
